"jan 3 reuters  citizens inc cian  sandler oneill raises citizens inc cian price target to 10 from 8 for a summary of rating and price target changes on us companies reuters eikon users click on rchus reuters 3000xtra users doubleclick rchus reuters station users click 1568 for a summary of rating and price target changes on canadian companies reuters eikon users click on rchca reuters 3000xtra users doubleclick rchca reuters station users click 4899 bangalore equities newsdesk 91 80 4135 5800 within us 1 646 223 8780",-1
"fullyear 2011 sales up 88 pct in germany  kba  volkswagen bmw still have biggest share of market  market shares of toyota kia expand adds further details frankfurt jan 3 reuters  german car sales rose 61 percent in december as consumers brushed off an uncertain economic environment and bought more compact cars highmargin vans and luxury saloons that brought growth for the full year 2011 to 88 percent german motor vehicle authority kba said on tuesday western europes car market is seen at best stagnating in 2012 as consumer demand eases amid weaker economic growth though economic data in germany has raised some hopes that europes biggest economy may buck the trend during the 12month period volkswagen vowgpde and bmw bmwgde retained leadership in their german home market in december with a market share of 20 percent and 112 percent respectively compact cars remained popular with the number of sales in that segment jumping by about 25 percent in 2011 that also helped asian makers such as toyota 7203t and kia 000270ks gain ground expanding their market shares to 35 percent and 18 percent in december compared with 26 percent and 13 percent for the full year ford fn renault renapa and fiat fiami however saw their market share shrink during the year to 71 percent 45 percent and 20 percent respectively the news on germanys car market comes a day after data showed that new car sales in italy shrank by 153 percent in december idnl6e8c21n0 us newvehicle sales for december are expected to show continued steady growth but analysts say much of the gains are linked to buyers who delayed purchases and therefore should not be read as an indication of a strengthening economyidnl1e7nv06i reporting by maria sheahan editing by hansjuergen peters and will waterman mariasheahanthomsonreuterscom49 69 7565 1286reuters messaging reuters messaging mariasheahanthomsonreuterscomreutersnet keywords cars germany",-1
"jan 3 reuters  marriott international inc marn  nomura raises marriott international marn target price to 38 from 35 for a summary of rating and price target changes on us companies reuters eikon users click on rchus reuters 3000xtra users doubleclick rchus reuters station users click 1568 for a summary of rating and price target changes on canadian companies reuters eikon users click on rchca reuters 3000xtra users doubleclick rchca reuters station users click 4899 bangalore equities newsdesk 91 80 4135 5800 within us 1 646 223 8780",-1
"london jan 3 reuters  the eurozone sovereign debt crisis could trigger a strong rise in reinsurance premiums by draining the industry of a persistent capital surplus that has fuelled intense pricesapping competition reinsurance broker willis re said the key to a sustained market hardening is much more likely to lie in the impact of the current economic turmoil in the euro zone and elsewhere and how this works through to diminish the capital bases of reinsurers willis re said on tuesday in a preview of the january policy renewals season with reinsurers holding plentiful capital despite nearrecord natural disaster claims last year price rises this month will likely be confined to catastrophe cover and it is unclear if a sustained market hardening will be seen the broker said natural disasters including the march 11 japanese earthquake pushed total catastrophe claims in 2011 to 108 billion making it the insurance industrys secondcostliest catastrophe year after 2005 when hurricane katrina devastated new orleans according to reinsurer swiss re srenhvx idnl6e7ne5gq analysts have said the concentration of last years catastrophes in the asiapacific region has spared heavyweight european and us insurers from their full capital impact limiting the knockon effect on pricing idnl1e7nr84t the industry has also been able to top up its reserves thanks to new flexible capital instruments which allow insurers to raise funds from outside investors cheaply and quickly idnlde7550f5 increases in reinsurance prices have historically been driven by capital shortages typically triggered by major catastrophe losses which force less wellfinanced players to retrench and free others to charge more separately analysts at espirito santo bank in london said they expected catastrophe reinsurance prices to rise by between 5 and 10 percent at the january renewals with the rest of the market remaining flat reporting by myles neligan mylesneliganthomsonreuterscom44 207 542 13 73 keywords reinsurance prices",-1
"for expanded multimedia reuters top news visit  eikon top news tab  3000 xtra visit  thomson one visit topnewsthomsononecomtopnews  reutersstation view story 134  top stories  tight race in iowa kicks off 2012 campaign nl1e8c30pv  improving data boosts to euro stocks nl6e8c30jo  iran threatens us navy as sanctions hit economy nl6e8c319q  total in 23 bln us shale gas deal nl6e8c30fp  uk manufacturing slumps in q4 recession looms nl6e8c30ui  insightmemo to lampert dump kmart to save sears nl1e8c22ez  head of syria rebels plans to escalate attacks nl6e8c30r7  as slowdown bites chinas wen pledges tweaks nl3e8c35hi  greece says must clinch bailout or face euro exit nl6e8c30q3  columnspain shrinks its way to growth james saftnl1e8c21zc  pressure mounts on german president after threat nl6e8c31d4  egyptians head to polls again in parliament vote nl6e8c302f  pakistan taliban chiefs at each others throats nl3e8c34oi  indias flashy new rich drive luxury car boom nl4e7m81rf  champagne resists crisis in 2011 outlook prudent nl6e8c21no  for latest top breaking news across all markets news  top news summaries on other subjects front page topnews global economy topmacro political  general news topg foreign exchange topfrx central banks topcen government debt topdbt emerging markets topemrg financial services topfin investment banking topdeals investment mgmt topfund wealth mgmtnamericatopwealth ifr markets topnow2 corporate credit topcredit us companies topequ european companies topeqe asian companies topeqa commodities  energy topce energy topo metals topmtl agricultural commods topgro north american power topeln european power  gas topele basic industries topbasic tech media telecomstoptmt consumer goods topretail healthcare tophealth lifestyle  ent toplife sport topspo regional top news pages greater china topcn japan topjp deutschland topde britain  ireland topgb france topfra canada topcan latin america toplatam middle east topmeast africa topza top news directory top breakingviews breakingviews topcom breakingviews amerstopcomem breakingviews emea topcomem breakingviews asia topcomas  access to some items may depend on subscription level  uptotheminute headlines economic news m economic indicators meci g7 live indicators econ central bank news mcen us company news u european companies eeurope asian companies easia mergers  acquisitions emrg live prices  data world stocks 0index sp 500 spx dow jones average dji nasdaq ixic ftseurofirst 300 fteu3 nikkei n225 ftse 100 ftse currency rates efxnfx debt 0usbmkeuribor us light crude oil clc1 brent crude lcoc1 gold xau how to find information you need reuters news phonehelp equity bonds money commodity energy  page editor jonathan oatis front page editor 1 646 2236301 frontpageeditorsthomsonreuterscom",-1
"banco bradesco bbdc4sabbdn brazils fourthlargest bank on tuesday promoted three directors to the post of senior vice president directly reporting to chief executive officer luiz carlos trabuco the osasco brazilbased bank appointed alcides munhoz aur茅lio boni and s茅rgio clemente to replace three vps that left the bank last year according to a statement marco antonio rossi currently the ceo of bradescos insurance unit the groups biggest revenue engine was named executive vice president the statement said reuters messaging guillermoparrathomsonreuterscomreutersnet keywords snippet",-1
"by agnieszka barteczko and adrian krajewski warsaw jan 3 reuters  polands centrist government plans no more changes to its proposed mining tax and plans to come up with a new levy on shale gas and other hydrocarbons in the first half of 2012 deputy finance minister maciej grabowski said on tuesday on monday the ministry rejigged its proposal for a budgetboosting mining tax due to cover copper and silver output the new proposal is slightly less harmful for europes no2 copper producer kghm which is seen to take the brunt of the new levyidnl6e8c2152 we treat this version as an absolutely final one grabowski told reuters in an interview the march 1 deadline is short but possible if its delayed it will force us to change our income plans every month equals roughly 200 million zlotys our next goal is to tax hydrocarbons which would include not only shale gas but also conventional gas and oil grabowski said the main aim is to build conditions for investors interested in exploring and extracting shale gas 1  34340 polish zlotys writing by adrian krajewski adriankrajewskithomsonreuterscom48 22 653 97 09reuters messaging adriankrajewskithomsonreuterscomreutersnet keywords poland mining",-1
"for expanded multimedia reuters top news visit  eikon top news tab  3000 xtra visit  thomson one visit topnewsthomsononecomtopnews  reutersstation view story 134  top stories  wall st jumps at open after chinese german data nl1e8c31ij  total signs 23 bln shale deal with chesapeake nl6e8c30fp  sinopec to buy some devon assets for 22 bln nl3e8c36la  us samestore sales seen up 43 pct in december nl1e8c22er  memo to eddie lampert dump kmart to save sears nl1e8c22ez  3m to buy avery dennisons office products unit nl3e8c35zj  natgas price plunge puts heat on producers nl1e7nu420  starbucks raising prices in us northeast sunbelt nn1e801036  teva pharm names exbristolmyers exec as ceo nl6e8c2063  caterpillar moves to lock out caw workers nl1e8c2012  goldman advisor defends 2 bln islamic bond schemenl6e7nv08o  for latest top breaking news across all markets news  top news summaries on other subjects front page topnews global economy topmacro political  general news topg foreign exchange topfrx central banks topcen government debt topdbt emerging markets topemrg financial services topfin investment banking topdeals investment mgmt topfund wealth mgmtnamericatopwealth ifr markets topnow2 corporate credit topcredit us companies topequ european companies topeqe asian companies topeqa commodities  energy topce energy topo metals topmtl agricultural commods topgro north american power topeln european power  gas topele basic industries topbasic tech media telecomstoptmt consumer goods topretail healthcare tophealth lifestyle  ent toplife sport topspo regional top news pages greater china topcn japan topjp deutschland topde britain  ireland topgb france topfra canada topcan latin america toplatam middle east topmeast africa topza top news directory top breakingviews breakingviews topcom breakingviews amerstopcomem breakingviews emea topcomem breakingviews asia topcomas  access to some items may depend on subscription level  uptotheminute headlines company results res economic indicators eci mergers  acquisitions mrg interest rates int live prices  data world stocks 0index dow jones average dji nasdaq ixic ftseurofirst 300 fteu3 nikkei n225 ftse 100 ftse currency rates efxnfx debt 0usbmkeuribor us light crude oil clc1 how to find information you need reuters news phonehelp equity bonds money commodity energy  page editor franklin paul new york news desk 1 646 232 6195",-1
"baghdad jan 3 reuters  iraqs crude oil exports climbed to 2145 million barrels per day in december from 2135 million bpd in november a source at the state oil marketing organisation said on tuesday iraq shipped 1733 million bpd from the southern oil hub of basra and 412000 bpd from the northern fields around kirkuk the source said iraqs exports for 2011 averaged 2165 million bpd at an average selling price of 10490 somo said on sunday idnl6e8c1043 reporting by ahmed rasheed editing by jim loney jimloneythomsonreuterscom964 7901 917 033reuters messaging jimloneyreuterscomreutersnet keywords iraq oilexports",-1
"jan 3 reuters  ltc properties inc ltcn  ltc propertiesdeclared monthly cash div of 0145 per share per month for january february and march 2012  rptltc announces a 36 increase in and declares its monthly common stock cash dividend for the first quarter of 2012 bangalore equities newsroom 91 80 4135 5800 within us 1 646 223 8780 for more news please click here ltcn",-1
